,term1,term2,term3,term4
NSCI 29101,Summer,Autumn,Winter,Spring
NSCI 29102,Summer,Autumn,Winter,Spring
NSCI 29200,Summer,Autumn,Winter,Spring
NSCI 29201,Summer,Autumn,Winter,Spring
NSCI 29202,Summer,Autumn,Winter,Spring
CMST 10100,Autumn,Winter,Spring,
CMST 10300,Autumn,Winter,Spring,
CMST 14400,Autumn,Winter,Spring,
CMST 14503,Autumn,,,
CMST 14504,Winter,,,
CMST 14507,Spring,,,
CMST 14509,Spring,,,
CMST 21019,Winter,,,
CMST 21110,Winter,,,
CMST 21805,Winter,,,
CMST 21806,Spring,,,
CMST 23904,Winter,,,
CMST 23905,Winter, Spring,,
CMST 23930,Autumn,,,
CMST 23931,Winter,,,
CMST 24405,Winter,,,
CMST 24615,Spring,,,
CMST 24915,Autumn,,,
CMST 24921,Spring,,,
CMST 25503,Autumn,,,
CMST 25506,Spring,,,
CMST 26000,Winter,,,
CMST 26302,Spring,,,
CMST 26803,Autumn,,,
CMST 26810,Autumn,,,
CMST 27004,Spring,,,
CMST 27220,Winter,,,
CMST 27600,Autumn,Winter,,
CMST 27804,Autumn,,,
CMST 27805,Autumn,,,
CMST 27811,Spring,,,
CMST 28200,Autumn,,,
CMST 28201,Spring,,,
CMST 28202,Winter,,,
CMST 28301,Spring,,,
CMST 28500,Autumn,,,
CMST 28600,Winter,,,
CMST 28601,Spring,,,
CMST 28801,Autumn,,,
CMST 28810,Winter,,,
CMST 28903,Autumn,,,
CMST 29700,Autumn, Winter, Spring,
CMST 29800,Autumn,,,
CMST 29900,Winter, Spring,,
PLSC 20721,Autumn,,,
PLSC 20725,Winter,,,
PLSC 21006,Autumn,,,
PLSC 21812,Autumn,,,
PLSC 22110,Winter,,,
PLSC 22202,Winter,,,
PLSC 22210,Winter,,,
PLSC 22402,Winter,,,
PLSC 22600,Spring,,,
PLSC 22710,Autumn,,,
PLSC 22913,Autumn,Winter,Spring,
PLSC 23010,Winter,,,
PLSC 23415,Spring,,,
PLSC 23501,Spring,,,
PLSC 24202,Spring,,,
PLSC 24302,Spring,,,
PLSC 24401,Spring,,,
PLSC 24402,Autumn,,,
PLSC 24410,Winter,,,
PLSC 24500,Spring,,,
PLSC 24805,Autumn,,,
PLSC 24902,Spring,,,
PLSC 25205,Autumn,,,
PLSC 25215,Winter,,,
PLSC 25610,Spring,,,
PLSC 26703,Winter,,,
PLSC 26800,Winter,,,
PLSC 27001,Autumn,,,
PLSC 27301,Autumn,,,
PLSC 27500,Winter,,,
PLSC 27703,Winter,,,
PLSC 27705,Spring,,,
PLSC 27815,Winter,,,
PLSC 28005,Autumn,,,
PLSC 28006,Autumn,,,
PLSC 28505,Autumn,,,
PLSC 28620,Autumn,,,
PLSC 28701,Winter,,,
PLSC 28710,Spring,,,
PLSC 28800,Winter,,,
PLSC 28801,Autumn,,,
PLSC 28900,Autumn,,,
PLSC 28901,Autumn,,,
PLSC 29000,Autumn,,,
PLSC 29120,Winter,,,
PLSC 29200,Spring,,,
PLSC 29202,Spring,,,
PLSC 29411,Winter,,,
PLSC 29700,Summer, Autumn, Winter, Spring
PLSC 29800,Autumn, Spring,,
PLSC 29900,Summer, Autumn, Winter, Spring
BANG 10100,Autumn,,,
BANG 10200,Winter,,,
BANG 10300,Spring,,,
BANG 20100,Autumn,,,
BANG 20200,Winter,,,
BANG 20300,Spring,,,
HIND 10100,Autumn,,,
HIND 10200,Winter,,,
HIND 10300,Spring,,,
HIND 20100,Autumn,,,
HIND 20200,Winter,,,
HIND 20300,Spring,,,
MARA 10100,Autumn,,,
MARA 10200,Winter,,,
MARA 10300,Spring,,,
MARA 20100,Autumn,,,
MARA 20200,Winter,,,
MARA 20300,Spring,,,
PALI 10100,Spring,,,
PALI 10200,Winter,,,
PALI 10300,Autumn,,,
PALI 20100,Winter,,,
PALI 20200,Spring,,,
PALI 20300,Spring,,,
SALC 20100,Winter,,,
SALC 20200,Spring,,,
SALC 20400,Winter,,,
SALC 20702,Spring,,,
SALC 20900,Spring,,,
SALC 20901,Winter,,,
SALC 20902,Spring,,,
SALC 22603,Autumn,,,
SALC 23700,Winter,,,
SALC 23903,Winter,,,
SALC 25306,Autumn,,,
SALC 27701,Autumn,,,
SALC 28001,Spring,,,
SALC 29700,Spring,,,
SALC 29800,Autumn,,,
SALC 29801,Winter,,,
SALC 29802,Spring,,,
SALC 29900,Autumn,,,
SALC 29901,Winter,,,
SALC 29902,Spring,,,
SANS 10100,Autumn,,,
SANS 10200,Winter,,,
SANS 10300,Spring,,,
SANS 20100,Autumn,,,
SANS 20200,Winter,,,
SANS 20300,Spring,,,
TAML 10100,Autumn,,,
TAML 10200,Winter,,,
TAML 10300,Spring,,,
TAML 20100,Autumn,,,
TAML 20200,Winter,,,
TAML 20300,Spring,,,
TBTN 10100,Autumn,,,
TBTN 10200,Winter,,,
TBTN 10300,Spring,,,
TBTN 20100,Autumn,,,
TBTN 20200,Winter,,,
TBTN 20300,Spring,,,
URDU 10100,Autumn,,,
URDU 10200,Winter,,,
URDU 10300,Spring,,,
URDU 20100,Autumn,,,
URDU 20200,Winter,,,
URDU 20300,Spring,,,
SOCI 20001,Winter,,,
SOCI 20002,Winter,,,
SOCI 20004,Winter,,,
SOCI 20005,Autumn,,,
SOCI 20101,Autumn,,,
SOCI 20102,Winter,,,
SOCI 20103,Winter,,,
SOCI 20104,Autumn,,,
SOCI 20105,Winter,,,
SOCI 20106,Autumn,,,
SOCI 20107,Spring,,,
SOCI 20112,Spring,,,
SOCI 20116,Autumn,,,
SOCI 20120,Winter,,,
SOCI 20122,Spring,,,
SOCI 20140,Spring,,,
SOCI 20157,Spring,,,
SOCI 20179,Winter,,,
SOCI 20184,Autumn,,,
SOCI 20191,Spring,,,
SOCI 20192,Spring,,,
SOCI 20222,Spring,,,
SOCI 20226,Autumn,,,
SOCI 20232,Winter,,,
SOCI 20233,Spring,,,
SOCI 20239,Spring,,,
SOCI 20245,Winter,,,
SOCI 20248,Spring,,,
SOCI 20252,Spring,,,
SOCI 20253,Autumn,,,
SOCI 20255,Winter,,,
SOCI 20257,Spring,,,
SOCI 20258,Spring,,,
SOCI 28070,Autumn,,,
SOCI 28071,Autumn,,,
SOCI 28072,Winter,,,
SOCI 28073,Spring,,,
SOCI 28074,Spring,,,
SOCI 29997,Autumn, Winter, Spring, Summer
SOCI 29998,Autumn, Winter, Spring,
ECON 14510,Autumn,,,
ECON 14810,Autumn,,,
ECON 19000,Spring,,,
ECON 19800,Autumn,Spring,,
ECON 19900,Autumn, Winter,,
ECON 20000,Autumn,Spring,,
ECON 20010,Autumn,Spring,,
ECON 20100,Autumn, Winter,,
ECON 20110,Autumn, Winter,,
ECON 20200,Winter, Spring,,
ECON 20210,Winter, Spring,,
ECON 20300,Autumn, Spring,,
ECON 20310,Autumn, Spring,,
ECON 20700,Spring,,,
ECON 20710,Winter,,,
ECON 20740,Spring,,,
ECON 20770,Spring,,,
ECON 20800,Winter,,,
ECON 20900,Winter,Spring,,
ECON 21000,Autumn,Winter,Spring,
ECON 21100,Autumn,,,
ECON 21110,Spring,,,
ECON 21150,Spring,,,
ECON 21200,Spring,,,
ECON 21410,Spring,,,
ECON 21800,Spring,,,
ECON 22200,Autumn,,,
ECON 22600,Autumn,,,
ECON 22650,Winter,,,
ECON 23000,Spring,,,
ECON 23200,Autumn,,,
ECON 23220,Winter,,,
ECON 23330,Winter,,,
ECON 23410,Winter,,,
ECON 23620,Autumn,,,
ECON 24000,Spring,,,
ECON 24030,Winter,,,
ECON 24400,Winter,,,
ECON 24450,Autumn,,,
ECON 24720,Winter,,,
ECON 25000,Autumn, Winter, Spring,
ECON 25100,Spring,,,
ECON 26020,Autumn,,,
ECON 26500,Autumn,,,
ECON 26530,Spring,,,
ECON 26540,Winter,,,
ECON 26600,Spring,,,
ECON 26700,Autumn,,,
ECON 26800,Autumn,,,
ECON 27000,Spring,,,
ECON 28000,Winter,,,
ECON 28100,Spring,,,
ECON 28600,Autumn,,,
ECON 28700,Spring,,,
ECON 29700,Autumn, Winter, Spring,
ECON 29800,Autumn, Winter, Spring,
MATH 11200,Autumn,Spring,,
MATH 11300,Winter,,,
MATH 13100,Autumn,Winter,,
MATH 13200,Winter,Spring,,
MATH 13300,Spring,,,
MATH 15100,Autumn,,,
MATH 15200,Autumn,Winter,,
MATH 15300,Autumn,Winter,Spring,
MATH 15900,Autumn,Winter,Spring,
MATH 15910,Autumn,Winter,Spring,
MATH 16100,Autumn,,,
MATH 16200,Winter,,,
MATH 16300,Spring,,,
MATH 17500,Autumn,,,
MATH 17600,Winter,,,
MATH 19520,Autumn,Winter,Spring,
MATH 19620,Autumn, Winter, Spring,
MATH 20000,Autumn,Winter,,
MATH 20100,Winter,Spring,,
MATH 20250,Autumn,Winter,Spring,
MATH 20300,Autumn,Winter,Spring,
MATH 20400,Autumn,Winter,Spring,
MATH 20500,Autumn,Winter,Spring,
MATH 20700,Autumn,,,
MATH 20800,Winter,,,
MATH 20900,Spring,,,
MATH 21100,Spring,,,
MATH 21200,Autumn,,,
MATH 23500,Spring,,,
MATH 24100,Spring,,,
MATH 24200,Spring,,,
MATH 24300,Spring,,,
MATH 24400,Autumn,,,
MATH 25400,Autumn,Winter,,
MATH 25500,Winter,Spring,,
MATH 25600,Spring,,,
MATH 25700,Autumn,,,
MATH 25800,Winter,,,
MATH 25900,Spring,,,
MATH 26200,Winter,,,
MATH 26300,Spring,,,
MATH 26700,Autumn,,,
MATH 26800,Winter,,,
MATH 27000,Autumn,Winter,Spring,
MATH 27200,Winter,,,
MATH 27300,Autumn,Winter,,
MATH 27400,Spring,,,
MATH 27500,Spring,,,
MATH 27700,Autumn,,,
MATH 27800,Winter,,,
MATH 28000,Autumn,,,
MATH 28100,Spring,,,
MATH 28410,Winter,,,
MATH 29520,Winter,,,
MATH 29700,Autumn, Winter, Spring,
GEOS 13100,Autumn,,,
GEOS 13200,Winter,,,
GEOS 13300,Spring,,,
GEOS 13400,Autumn, Spring,,
GEOS 13900,Winter,,,
GEOS 20500,Autumn,,,
GEOS 21000,Winter,,,
GEOS 21005,Winter,,,
GEOS 21100,Spring,,,
GEOS 21200,Spring,,,
GEOS 21205,Winter,,,
GEOS 21400,Spring,,,
GEOS 22000,Winter,,,
GEOS 22040,Autumn,,,
GEOS 22050,Winter,,,
GEOS 22200,Autumn,,,
GEOS 23205,Winter,,,
GEOS 23400,Spring,,,
GEOS 23800,Winter,,,
GEOS 23805,Winter,,,
GEOS 23900,Autumn,,,
GEOS 24220,Autumn,,,
GEOS 24230,Autumn,,,
GEOS 24240,Winter,,,
GEOS 24250,Spring,,,
GEOS 24705,Spring,,,
GEOS 25400,Winter,,,
GEOS 26100,Autumn,,,
GEOS 26300,Autumn,,,
GEOS 26600,Spring,,,
GEOS 26650,Autumn,,,
GEOS 26905,Winter,,,
GEOS 27300,Winter,,,
GEOS 28000,Winter,,,
GEOS 28100,Winter,,,
GEOS 28300,Autumn,,,
GEOS 28600,Winter,,,
GEOS 29001,Winter,,,
GEOS 29002,Winter,,,
GEOS 29005,Winter,,,
GEOS 29700,Summer,Autumn,Winter,Spring
CHIN 10100,Autumn,,,
CHIN 10200,Winter,,,
CHIN 10300,Spring,,,
CHIN 11100,Autumn,,,
CHIN 11200,Winter,,,
CHIN 11300,Spring,,,
CHIN 20100,Autumn,,,
CHIN 20200,Winter,,,
CHIN 20300,Spring,,,
CHIN 20401,Autumn,,,
CHIN 20402,Winter,,,
CHIN 20403,Spring,,,
CHIN 20501,Autumn,,,
CHIN 20502,Winter,,,
CHIN 20503,Spring,,,
CHIN 20508,Autumn,,,
CHIN 20509,Winter,,,
CHIN 20510,Autumn,,,
CHIN 20601,Autumn,,,
CHIN 20602,Winter,,,
CHIN 20603,Spring,,,
CHIN 20800,Autumn,,,
CHIN 20900,Winter,,,
CHIN 21000,Spring,,,
CHIN 21100,Autumn,,,
CHIN 21200,Winter,,,
CHIN 21300,Spring,,,
EALC 10500,Autumn,,,
EALC 10600,Spring,,,
EALC 10601,Winter,,,
EALC 10800,Summer,Autumn,,
EALC 10900,Summer,Winter,,
EALC 11000,Spring,,,
EALC 14111,Winter,,,
EALC 14801,Winter,,,
EALC 15100,Autumn,,,
EALC 15405,Autumn,,,
EALC 16911,Spring,,,
EALC 17107,Spring,,,
EALC 17110,Spring,,,
EALC 17207,Autumn,,,
EALC 17211,Winter,,,
EALC 19800,Spring,,,
EALC 19909,Winter,,,
EALC 20210,Winter,,,
EALC 20330,Autumn,,,
EALC 20404,Winter,,,
EALC 20421,Spring,,,
EALC 20441,Spring,,,
EALC 22024,Spring,,,
EALC 22027,Autumn,,,
EALC 22032,Winter,,,
EALC 23001,Spring,,,
EALC 24255,Spring,,,
EALC 24306,Autumn,,,
EALC 24308,Autumn,,,
EALC 24333,Winter,,,
EALC 24500,Winter,,,
EALC 24510,Spring,,,
EALC 24606,Spring,,,
EALC 24614,Spring,,,
EALC 24700,Winter,,,
EALC 24706,Spring,,,
EALC 24810,Winter,,,
