,term1,term2,term3,term4
PHSC 12400,Winter,,,
PHSC 12500,Spring,,,
PHSC 12600,Autumn,,,
PHSC 12610,Winter,,,
PHSC 12620,Spring,,,
PHSC 12700,Autumn,,,
PHSC 12710,Winter,,,
PHSC 12720,Spring,,,
PHSC 12800,Spring,,,
PHSC 13400,Autumn, Spring,,
PHSC 13500,Autumn,,,
PHSC 13600,Winter,,,
PHSC 18100,Autumn,,,
PHSC 18200,Spring,,,
PHSC 18300,Autumn,,,
PHSC 18500,Autumn,,,
ANTH 20001,Winter,,,
ANTH 20002,Autumn,,,
ANTH 20003,Winter,,,
ANTH 20004,Spring,,,
ANTH 20100,Autumn,,,
ANTH 20405,Autumn,,,
ANTH 20420,Autumn,,,
ANTH 20535,Summer,,,
ANTH 20701,Winter,,,
ANTH 20702,Spring,,,
ANTH 21015,Summer,,,
ANTH 21102,Autumn,,,
ANTH 21107,Winter,,,
ANTH 21201,Spring,,,
ANTH 21217,Winter,,,
ANTH 21225,Autumn,,,
ANTH 21230,Autumn,,,
ANTH 21251,Autumn,,,
ANTH 21254,Spring,,,
ANTH 21255,Autumn,,,
ANTH 21264,Autumn,,,
ANTH 21265,Winter,,,
ANTH 21269,Autumn,,,
ANTH 21303,Winter,,,
ANTH 21307,Winter,,,
ANTH 21322,Spring,,,
ANTH 21401,Autumn,,,
ANTH 21406,Winter,,,
ANTH 21420,Spring,,,
ANTH 21525,Winter,,,
ANTH 21610,Spring,,,
ANTH 21725,Winter,,,
ANTH 22000,Winter,,,
ANTH 22105,Spring,,,
ANTH 22123,Winter,,,
ANTH 22125,Spring,,,
ANTH 22130,Winter,,,
ANTH 22150,Spring,,,
ANTH 22205,Winter,,,
ANTH 22400,Spring,,,
ANTH 22530,Winter,,,
ANTH 22535,Winter,,,
ANTH 22606,Autumn,,,
ANTH 22609,Winter,,,
ANTH 22610,Winter,,,
ANTH 22710,Spring,,,
ANTH 22715,Autumn,,,
ANTH 22915,Spring,,,
ANTH 23091,Spring,,,
ANTH 23101,Autumn,,,
ANTH 23102,Winter,,,
ANTH 23103,Spring,,,
ANTH 23630,Winter,,,
ANTH 23700,Winter,,,
ANTH 23715,Autumn,,,
ANTH 23805,Winter,,,
ANTH 24001,Autumn,,,
ANTH 24002,Winter,,,
ANTH 24003,Spring,,,
ANTH 24101,Winter,,,
ANTH 24102,Spring,,,
ANTH 24105,Spring,,,
ANTH 24300,Spring,,,
ANTH 24320,Autumn,,,
ANTH 24330,Winter,,,
ANTH 24340,Spring,,,
ANTH 24345,Autumn,,,
ANTH 24705,Winter,,,
ANTH 24800,Spring,,,
ANTH 24810,Winter,,,
ANTH 24815,Autumn,,,
ANTH 25100,Winter,,,
ANTH 25117,Autumn,,,
ANTH 25200,Winter,,,
ANTH 25250,Autumn,,,
ANTH 25305,Autumn,,,
ANTH 25325,Winter,,,
ANTH 25440,Spring,,,
ANTH 25500,Autumn,,,
ANTH 25900,Winter,,,
ANTH 25905,Spring,,,
ANTH 25906,Spring,,,
ANTH 25908,Winter,,,
ANTH 26020,Winter,,,
ANTH 26315,Autumn,,,
ANTH 26320,Spring,,,
ANTH 26325,Winter,,,
ANTH 26505,Winter,,,
ANTH 26605,Autumn,,,
ANTH 26710,Autumn,,,
ANTH 26711,Winter,,,
ANTH 26712,Autumn,,,
ANTH 26735,Winter,,,
ANTH 26740,Spring,,,
ANTH 26830,Winter,,,
ANTH 26900,Spring,,,
ANTH 27130,Autumn,,,
ANTH 27135,Winter,,,
ANTH 27300,Winter,,,
ANTH 27400,Winter,,,
ANTH 27430,Autumn,,,
ANTH 27505,Winter,,,
ANTH 27510,Winter,,,
ANTH 27520,Winter,,,
ANTH 27615,Autumn,,,
ANTH 27700,Spring,,,
ANTH 27705,Spring,,,
ANTH 28010,Spring,,,
ANTH 28100,Winter,,,
ANTH 28200,Winter,,,
ANTH 28210,Spring,,,
ANTH 28400,Winter,,,
ANTH 28410,Winter,,,
ANTH 28420,Winter,,,
ANTH 28510,Autumn,,,
ANTH 28600,Spring,,,
ANTH 28702,Winter,,,
ANTH 29105,Winter,,,
ANTH 29500,Winter,,,
ANTH 29700,Autumn,Winter,Spring,
ANTH 29900,Autumn,Winter,Spring,
ANTH 29910,Winter,,,
ENST 12100,Autumn,,,
ENST 12300,Autumn, Spring,,
ENST 12402,Winter,,,
ENST 13106,Winter,,,
ENST 13132,Autumn,,,
ENST 13300,Spring,,,
ENST 20500,Spring,,,
ENST 21201,Autumn,,,
ENST 21301,Winter,,,
ENST 21800,Spring,,,
ENST 22000,Spring,,,
ENST 22209,Winter,,,
ENST 22506,Winter,,,
ENST 23100,Winter,,,
ENST 23289,Winter,,,
ENST 23500,Autumn,,,
ENST 23900,Autumn,,,
ENST 24102,Spring,,,
ENST 24104,Winter,,,
ENST 24701,Autumn,,,
ENST 24705,Spring,,,
ENST 25100,Autumn,,,
ENST 25300,Autumn, Winter,,
ENST 25500,Winter,,,
ENST 25900,Winter,,,
ENST 26100,Autumn,,,
ENST 26201,Spring,,,
ENST 26220,Winter,,,
ENST 26405,Winter,,,
ENST 26420,Winter,,,
ENST 26433,Autumn,,,
ENST 26444,Spring,,,
ENST 26500,Autumn,,,
ENST 26505,Winter,,,
ENST 26530,Spring,,,
ENST 26531,Autumn,,,
ENST 26701,Winter,,,
ENST 27100,Spring,,,
ENST 27201,Spring,,,
ENST 27220,Spring,,,
ENST 27301,Spring,,,
ENST 27320,Spring,,,
ENST 27420,Winter,,,
ENST 27750,Autumn,,,
ENST 27751,Winter,,,
ENST 28210,Winter,,,
ENST 29000,Autumn,,,
ENST 29700,Autumn,Winter,Spring,
ENST 29720,Spring,,,
ENST 29801,Autumn,,,
ENST 29802,Winter,,,
MUSI 10100,Autumn,Winter,Spring,
MUSI 10200,Autumn,Winter,Spring,
MUSI 10300,Autumn,Winter,Spring,
MUSI 10400,Autumn,Winter,Spring,
MUSI 12100,Winter,,,
MUSI 12200,Spring,,,
MUSI 14300,Autumn,,,
MUSI 15100,Autumn,,,
MUSI 15200,Winter,,,
MUSI 15300,Spring,,,
MUSI 21814,Winter,,,
MUSI 22517,Spring,,,
MUSI 22900,Winter,,,
MUSI 22901,Autumn,,,
MUSI 23104,Winter,,,
MUSI 23300,Autumn,,,
MUSI 23410,Spring,,,
MUSI 23416,Spring,,,
MUSI 23503,Spring,,,
MUSI 23509,Winter,,,
MUSI 23514,Spring,,,
MUSI 23614,Winter,,,
MUSI 23817,Autumn,,,
MUSI 23900,Autumn,,,
MUSI 23911,Spring,,,
MUSI 24000,Autumn,Winter,Spring,
MUSI 24417,Spring,,,
MUSI 24517,Spring,,,
MUSI 25100,Winter,,,
MUSI 25200,Spring,,,
MUSI 25217,Spring,,,
MUSI 25300,Winter,,,
MUSI 25514,Spring,,,
MUSI 25600,Spring,,,
MUSI 25701,Winter,,,
MUSI 25801,Autumn,,,
MUSI 26100,Spring,,,
MUSI 26217,Spring,,,
MUSI 26300,Autumn,,,
MUSI 26400,Winter,,,
MUSI 26800,Autumn,,,
MUSI 26817,Spring,,,
MUSI 26900,Winter,,,
MUSI 27100,Autumn,,,
MUSI 27200,Winter,,,
MUSI 27300,Spring,,,
MUSI 28000,Autumn,,,
MUSI 28500,Autumn,Winter,Spring,
MUSI 29500,Spring,,,
MUSI 29700,Autumn,Winter,Spring,
MUSI 29900,Autumn,Winter,Spring,
ARME 10501,Winter,,,
ARTH 14200,Winter,,,
ARTH 14700,Winter,,,
ARTH 16709,Winter,,,
ARTH 17311,Spring,,,
ARTH 23310,Winter,,,
ARTH 24110,Autumn,,,
EALC 17211,Winter,,,
ENGL 15500,Winter,,,
ENGL 15600,Spring,,,
FNDL 20700,Autumn,,,
FREN 22210,Spring,,,
HIST 12101,Autumn,,,
HIST 21701,Autumn,,,
HIST 21702,Spring,,,
HIST 22110,Spring,,,
HIST 22115,Winter,,,
HIST 25701,Autumn,,,
HIST 25704,Autumn,,,
HIST 25804,Winter,,,
HIST 25904,Spring,,,
HIST 29902,Spring,,,
ITAL 22210,Spring,,,
ITAL 22600,Winter,,,
ITAL 26200,Autumn,,,
ITAL 29600,Spring,,,
NEAA 20501,Autumn,,,
NEHC 20501,Autumn,,,
NEHC 20502,Winter,,,
NEHC 20503,Spring,,,
NEHC 20601,Autumn,,,
NEHC 20602,Winter,,,
NEHC 20603,Spring,,,
NEHC 26016,Spring,,,
PERS 20006,Winter,,,
RLST 21107,Spring 2017,,,
RLST 25903,Winter 2017,,,
SPAN 21703,Autumn,,,
GRMN 10100,Autumn,,,
GRMN 10200,Winter,,,
GRMN 10201,Autumn, Winter,,
GRMN 10300,Autumn, Winter, Spring,
GRMN 13100,Spring,,,
GRMN 20100,Autumn, Winter, Spring,
GRMN 20200,Autumn, Winter, Spring,
GRMN 20300,Autumn, Winter, Spring,
GRMN 21103,Autumn,,,
GRMN 21203,Winter,,,
GRMN 21303,Spring,,,
GRMN 21403,Spring; Offered in even-numbered years,,,
GRMN 23715,Spring,,,
GRMN 24016,Autumn,,,
GRMN 24916,Autumn,,,
GRMN 25516,Autumn,,,
GRMN 25817,Spring,,,
GRMN 26816,Autumn,,,
GRMN 27517,Winter,,,
GRMN 27717,Spring,,,
GRMN 29700,Autumn, Winter, Spring,
GRMN 29900,Autumn, Winter, Spring,
NORW 10100,Autumn,,,
NORW 10200,Winter,,,
NORW 10300,Spring,,,
NORW 10400,Spring,,,
NORW 10500,Autumn,,,
NORW 26700,Winter,,,
NORW 29700,Autumn, Winter, Spring,
YDDH 10100,Autumn,,,
YDDH 10200,Winter,,,
YDDH 10300,Spring,,,
YDDH 20101,Autumn,,,
YDDH 21101,Autumn,,,
YDDH 25917,Spring,,,
YDDH 29700,Autumn, Winter, Spring,
HUMA 02980,Summer,,,
HUMA 11000,Autumn,,,
HUMA 11100,Winter,,,
HUMA 11200,Spring,,,
HUMA 11500,Autumn,,,
HUMA 11600,Winter,,,
HUMA 11700,Spring,,,
HUMA 12050,Autumn,,,
HUMA 12150,Winter,,,
HUMA 12250,Spring,,,
HUMA 12300,Autumn,,,
HUMA 12400,Winter,,,
HUMA 12500,Spring,,,
HUMA 13500,Autumn,,,
HUMA 13600,Winter,,,
HUMA 13700,Spring,,,
HUMA 14000,Autumn,,,
HUMA 14100,Winter,,,
HUMA 14200,Spring,,,
HUMA 16000,Autumn,,,
HUMA 16100,Winter,,,
HUMA 16200,Spring,,,
HUMA 17000,Autumn,,,
HUMA 17100,Winter,,,
HUMA 17200,Spring,,,
HUMA 19100,Autumn, Winter, Spring,
HUMA 20710,Autumn,,,
HUMA 20711,Winter,,,
HUMA 20712,Autumn,,,
HUMA 20713,Winter,,,
HUMA 25205,Autumn,,,
HUMA 29700,Autumn, Winter, Spring,
SIGN 26000,Spring,,,
SIGN 26001,Spring,,,
SIGN 26003,Spring,,,
SIGN 26004,Spring,,,
SIGN 26005,Spring,,,
SIGN 26006,Spring,,,
SIGN 26007,Spring,,,
SIGN 26008,Spring,,,
SIGN 26009,Spring,,,
ENGL 10450,Spring,,,
ENGL 10600,Autumn,,,
ENGL 10706,Winter,,,
ENGL 10710,Autumn,,,
ENGL 10800,Autumn,Winter,Spring,
ENGL 10950,Winter,,,
ENGL 10951,Spring,,,
ENGL 11004,Autumn,,,
ENGL 11404,Spring,,,
ENGL 14900,Winter,,,
ENGL 15500,Winter,,,
ENGL 15600,Spring,,,
ENGL 15850,Autumn,,,
ENGL 16500,Spring,,,
ENGL 16550,Autumn,,,
ENGL 16600,Winter,,,
ENGL 17501,Spring,,,
ENGL 17515,Autumn,,,
ENGL 17516,Winter,,,
ENGL 17700,Winter,,,
ENGL 17813,Autumn,,,
ENGL 17814,Spring,,,
ENGL 17950,Spring,,,
ENGL 18108,Winter,,,
ENGL 19204,Autumn,,,
ENGL 20024,Winter,,,
ENGL 20140,Autumn,,,
ENGL 20141,Autumn,,,
ENGL 20142,Autumn,,,
ENGL 20143,Autumn,,,
ENGL 20212,Spring,,,
ENGL 20225,Winter,,,
ENGL 20850,Winter,,,
ENGL 20906,Winter,,,
ENGL 21006,Spring,,,
ENGL 21102,Winter,,,
ENGL 21106,Autumn,,,
ENGL 21110,Winter,,,
ENGL 21118,Winter,,,
ENGL 21301,Spring,,,
ENGL 21924,Autumn,,,
ENGL 22404,Autumn,,,
ENGL 22903,Winter,,,
ENGL 23350,Winter,,,
ENGL 23400,Winter,,,
ENGL 24005,Autumn,,,
ENGL 24205,Spring,,,
ENGL 24210,Autumn,,,
ENGL 24212,Spring,,,
ENGL 24260,Spring,,,
ENGL 24320,Winter,,,
ENGL 24650,Spring,,,
ENGL 24810,Spring,,,
ENGL 24812,Winter,,,
ENGL 24951,Winter,,,
ENGL 25011,Spring,,,
ENGL 25013,Autumn,,,
ENGL 25413,Autumn,,,
ENGL 25422,Spring,,,
ENGL 25601,Autumn,,,
ENGL 26250,Spring,,,
ENGL 26300,Spring,,,
ENGL 26405,Winter,,,
ENGL 26406,Winter,,,
ENGL 26950,Spring,,,
ENGL 27003,Winter,,,
ENGL 27316,Spring,,,
ENGL 27500,Winter,,,
ENGL 27650,Spring,,,
ENGL 28613,Autumn,,,
ENGL 28614,Winter,,,
ENGL 28618,Spring,,,
ENGL 28750,Autumn,,,
ENGL 28780,Spring,,,
ENGL 28816,Spring,,,
ENGL 28912,Autumn,,,
ENGL 28918,Winter,,,
ENGL 29300,Autumn,,,
ENGL 29400,Autumn,,,
ENGL 29600,Winter,,,
ENGL 29700,Autumn,Winter,Spring,
ENGL 29900,Autumn,Winter,Spring,
CLCV 14113,Winter,,,
CLCV 20200,Autumn,,,
CLCV 20700,Autumn,,,
CLCV 20800,Winter,,,
CLCV 20900,Spring,,,
CLCV 21807,Autumn,,,
CLCV 21812,Autumn,,,
CLCV 22700,Autumn,,,
CLCV 22914,Autumn,,,
CLCV 23315,Autumn,,,
CLCV 23712,Autumn,,,
CLCV 24113,Spring,,,
CLCV 24115,Autumn,,,
CLCV 24215,Winter,,,
CLCV 24306,Autumn,,,
CLCV 24307,Spring,,,
CLCV 24515,Autumn,,,
CLCV 24716,Winter,,,
CLCV 25510,Autumn,,,
CLCV 25516,Spring,,,
CLCV 25700,Autumn,,,
CLCV 25716,Spring,,,
CLCV 25800,Winter,,,
CLCV 25900,Spring,,,
CLCV 26016,Winter,,,
CLCV 26200,Winter,,,
CLCV 26601,Winter,,,
CLCV 26916,Autumn,,,
CLCV 27116,Autumn,,,
CLCV 27716,Winter,,,
CLCV 28300,Spring,,,
CLCV 28316,Spring,,,
CLCV 28716,Winter,,,
CLCV 29113,Spring,,,
CLCV 29700,Autumn, Winter, Spring,
CLCV 29800,Autumn, Winter,,
GREK 10100,Autumn,,,
GREK 10200,Winter,,,
GREK 10300,Spring,,,
GREK 11100,Autumn,,,
GREK 11200,Winter,,,
GREK 11300,Spring,,,
GREK 20100,Autumn,,,
GREK 20200,Winter,,,
GREK 20300,Spring,,,
GREK 21116,Autumn,,,
GREK 21200,Autumn,,,
GREK 21216,Spring,,,
GREK 21300,Autumn,,,
GREK 21700,Autumn,,,
GREK 21800,Spring,,,
GREK 21900,Spring,,,
GREK 22314,Spring,,,
GREK 22400,Autumn,,,
GREK 22500,Autumn,,,
GREK 23116,Winter,,,
GREK 24500,Spring,,,
GREK 25000,Autumn,,,
GREK 25116,Autumn,,,
GREK 25615,Winter,,,
GREK 29700,Autumn, Winter,,
LATN 10100,Autumn,,,
LATN 10200,Winter,,,
LATN 10300,Spring,,,
LATN 11100,Autumn,,,
LATN 11200,Winter,,,
LATN 11300,Spring,,,
LATN 20100,Autumn,,,
LATN 20200,Winter,,,
LATN 20300,Spring,,,
LATN 21100,Winter,,,
LATN 21200,Spring,,,
LATN 21300,Autumn,,,
LATN 21700,Autumn,,,
LATN 21800,Winter,,,
LATN 21900,Spring,,,
LATN 22100,Spring,,,
LATN 22200,Winter,,,
LATN 22300,Spring,,,
LATN 25000,Winter,,,
LATN 26000,Autumn,,,
LATN 29700,Autumn, Winter, Spring,
PHYS 12100,Autumn,,,
PHYS 12200,Winter,,,
PHYS 12300,Spring,,,
PHYS 13100,Autumn,,,
PHYS 13200,Winter,,,
PHYS 13300,Spring,,,
PHYS 14100,Autumn,,,
PHYS 14200,Winter,,,
PHYS 14300,Spring,,,
PHYS 15400,Autumn,,,
PHYS 18500,Winter,,,
PHYS 19700,Autumn,,,
PHYS 21101,Autumn,,,
PHYS 21102,Winter,,,
PHYS 21103,Spring,,,
PHYS 22000,Spring,,,
PHYS 22100,Autumn,,,
PHYS 22500,Winter,,,
PHYS 22600,Spring,,,
PHYS 22700,Spring,,,
PHYS 23400,Spring,,,
PHYS 23500,Autumn,,,
PHYS 23600,Winter,,,
PHYS 23700,Spring,,,
PHYS 24500,Winter,,,
PHYS 25000,Autumn,,,
PHYS 26000,Winter,,,
PHYS 26400,Autumn,,,
PHYS 29100,Autumn,,,
PHYS 29200,Winter,,,
PHYS 29300,Spring,,,
PHYS 29700,Autumn, Winter, Spring, Summer
CRES 24001,Autumn,,,
CRES 24002,Winter,,,
CRES 24003,Spring,,,
EALC 10800,Summer,Autumn,,
EALC 10900,Summer,Winter,,
EALC 11000,Spring,,,
GNSE 15002,Autumn,,,
GNSE 15003,Winter,,,
HIPS 17300,Autumn,,,
HIPS 17400,Winter,,,
HIPS 17402,Not offered in 2016–17,,,
HIPS 17501,Not offered 2016-17,,,
HIPS 17502,Spring,,,
HIPS 17503,Not offered in 2016-17,,,
HIST 10101,Winter,,,
HIST 10102,Spring,,,
HIST 13001,Autumn,Winter,,
HIST 13002,Winter,Spring,,
HIST 13003,Spring,,,
HIST 13100,Summer,Autumn,,
HIST 13200,Summer,Winter,,
HIST 13300,Summer,Spring,,
HIST 13500,Autumn,,,
HIST 13600,Winter,,,
HIST 13700,Spring,,,
HIST 13900,Autumn,,,
HIST 14000,Winter,,,
HIST 16700,Autumn,,,
HIST 16800,Winter,,,
HIST 16900,Spring,,,
HMRT 10100,Autumn,,,
HMRT 10200,Winter,,,
LACS 16100,Autumn,,,
LACS 16200,Winter,,,
LACS 16300,Spring,,,
MUSI 12100,Winter,,,
MUSI 12200,Spring,,,
NEHC 20001,Autumn,,,
NEHC 20002,Winter,,,
NEHC 20003,Spring,,,
NEHC 20004,Spring,,,
NEHC 20005,Spring,,,
NEHC 20006,Winter,,,
NEHC 20011,Autumn,,,
NEHC 20012,Winter,,,
NEHC 20013,Spring,,,
NEHC 20416,Autumn,,,
NEHC 20417,Winter,,,
NEHC 20418,,,,
NEHC 20501,Autumn,,,
NEHC 20502,Winter,,,
NEHC 20503,Spring,,,
NEHC 20601,Autumn,,,
NEHC 20602,Winter,,,
NEHC 20603,Spring,,,
SALC 20100,Winter,,,
SALC 20200,Spring,,,
RLST 10100,Winter,,,
RLST 11004,Autumn,,,
RLST 11030,Autumn,,,
RLST 12602,Winter,,,
RLST 20150,Autumn,,,
RLST 20231,Winter,,,
RLST 20401,Autumn,,,
RLST 20402,Winter,,,
RLST 20403,Spring,,,
RLST 20408,Winter,,,
RLST 20501,Autumn,,,
RLST 20505,Winter,,,
RLST 20702,Spring,,,
RLST 21107,Spring,,,
RLST 21203,Spring,,,
RLST 21400,Spring,,,
RLST 21801,Autumn,,,
RLST 22400,Spring,,,
RLST 22505,Winter,,,
RLST 23400,Autumn,,,
RLST 23605,Autumn,,,
RLST 23900,Winter,,,
RLST 23904,Spring,,,
RLST 24050,Spring,,,
RLST 24201,Winter,,,
RLST 24202,Spring,,,
RLST 24910,Spring,,,
RLST 25120,Winter,,,
RLST 25405,Spring,,,
RLST 25903,Winter,,,
RLST 26150,Spring,,,
RLST 26310,Autumn,,,
RLST 26623,Winter,,,
RLST 26800,Winter,,,
RLST 27500,Spring,,,
RLST 27516,Winter,,,
RLST 28020,Winter,,,
RLST 28215,Spring,,,
RLST 28610,Autumn,,,
RLST 28617,Autumn,,,
RLST 28704,WInter,,,
RLST 28716,Spring,,,
RLST 29700,Autumn, Winter, Spring,
RLST 29800,Autumn,,,
RLST 29900,Winter,,,
ASLG 10100,Autumn,,,
ASLG 10200,Winter,,,
ASLG 10300,Spring,,,
ASLG 10400,Autumn,,,
ASLG 10500,Winter,,,
ASLG 10600,Spring,,,
BASQ 12000,Autumn,,,
BASQ 12100,Winter,,,
BASQ 12200,Spring,,,
LING 20001,Autumn,Winter,Spring,
LING 20101,Autumn,,,
LING 20150,Autumn,,,
LING 20201,Winter,,,
LING 20301,Spring,,,
LING 20721,Autumn,,,
LING 21000,Spring,,,
LING 21010,Autumn,,,
LING 21310,Autumn,,,
LING 21600,Winter,,,
LING 21720,Spring,,,
LING 21920,Winter,,,
LING 23400,Spring,,,
LING 23600,Spring,,,
LING 24960,Spring,,,
LING 25200,Spring,,,
LING 26002,Autumn,,,
LING 26020,Spring,,,
LING 26310,Winter,,,
LING 27010,Autumn,,,
LING 27130,Autumn,,,
LING 27200,Winter,,,
LING 27220,Spring,,,
LING 27430,Winter,,,
LING 27500,Spring,,,
LING 27810,Spring,,,
LING 28355,Autumn,,,
LING 28370,Autumn,,,
LING 28380,Winter,,,
LING 28381,Spring,,,
LING 28600,Autumn,,,
LING 29700,Autumn, Winter, Spring,
LING 29900,Autumn, Winter, Spring,
MOGK 10100,Autumn,,,
MOGK 10200,Winter,,,
MOGK 10300,Spring,,,
MOGK 20100,Autumn,,,
MOGK 20200,Winter,,,
MOGK 20300,Spring,,,
SWAH 25200,Autumn,,,
SWAH 25300,Winter,,,
SWAH 25400,Spring,,,
SWAH 26800,Autumn,,,
SWAH 26900,Winter,,,
SWAH 27000,Spring,,,
AANL 10101,Autumn,,,
AANL 10102,Winter,,,
AANL 10103,Spring,,,
AANL 20127,Autumn,,,
AANL 20128,Spring,,,
AANL 20301,Autumn,,,
AANL 20302,Spring,,,
AKKD 10101,Autumn,,,
AKKD 10102,Winter,,,
AKKD 10103,Spring,,,
AKKD 20601,Autumn,,,
ARAB 10101,Autumn,,,
ARAB 10102,Winter,,,
ARAB 10103,Spring,,,
ARAB 10250,Winter,,,
ARAB 10254,Spring,,,
ARAB 19999,Autumn,,,
ARAB 20101,Autumn,,,
ARAB 20102,Winter,,,
ARAB 20103,Spring,,,
ARAB 20351,Autumn,,,
ARAB 20390,,,,
ARAB 20588,Winter,,,
ARAB 29001,Autumn,,,
ARAM 10101,Autumn,,,
ARAM 10102,Spring,,,
ARAM 10103,Winter,,,
ARME 10101,Autumn,,,
ARME 10102,Winter,,,
ARME 10103,Spring,,,
ARME 10501,Winter,,,
ARME 20101,Autumn,,,
ARME 20102,Winter,,,
ARME 20103,Spring,,,
EGPT 10101,Autumn,,,
EGPT 10102,Winter,,,
EGPT 10103,Spring,,,
EGPT 10201,Autumn,,,
EGPT 10202,Autumn,,,
EGPT 20101,Autumn,,,
EGPT 20102,Winter,,,
EGPT 20110,Spring,,,
EGPT 20210,Spring,,,
EGPT 20211,Autumn,,,
GEEZ 10101,Spring,,,
GEEZ 10102,Spring,,,
HEBR 10101,Autumn,,,
HEBR 10102,Winter,,,
HEBR 10103,Spring,,,
HEBR 10501,Autumn,,,
HEBR 10502,Winter,,,
HEBR 10503,Spring,,,
HEBR 20104,Autumn,,,
HEBR 20105,Winter,,,
HEBR 20106,Spring,,,
HEBR 20501,Autumn,,,
HEBR 20502,Winter,,,
HEBR 20503,Spring,,,
KAZK 10101,Autumn,,,
KAZK 10102,Winter,,,
KAZK 10103,Spring,,,
KAZK 20101,Autumn,,,
KAZK 20102,Winter,,,
KAZK 20103,Spring,,,
NEAA 10630,Winter,,,
NEAA 10631,Winter,,,
NEAA 20001,Autumn,,,
NEAA 20002,Spring,,,
NEAA 20003,Spring,,,
NEAA 20004,Autumn,,,
NEAA 20005,Winter,,,
NEAA 20006,Winter,,,
NEAA 20045,Spring,,,
NEAA 20051,Winter,,,
NEAA 20061,Autumn,,,
NEAA 20062,Winter,,,
NEAA 20070,Winter,,,
NEAA 20071,Autumn,,,
NEAA 20250,Spring,,,
NEAA 20310,Winter,,,
NEAA 20330,Winter,,,
NEAA 20501,Autumn,,,
NEAA 20533,Spring,,,
NEAA 26712,Autumn,,,
NEAA 29700,Autumn, Winter, Spring,
NEHC 10101,Spring,,,
NEHC 16709,Winter,,,
NEHC 20003,Spring,,,
NEHC 20006,Winter,,,
NEHC 20011,Autumn,,,
NEHC 20012,Winter,,,
NEHC 20013,Spring,,,
NEHC 20030,Autumn,,,
NEHC 20037,Winter,,,
NEHC 20050,Spring,,,
NEHC 20075,Winter,,,
NEHC 20085,Spring,,,
NEHC 20121,Winter,,,
NEHC 20223,Winter,,,
NEHC 20226,Autumn,,,
NEHC 20287,Spring,,,
NEHC 20416,Autumn,,,
NEHC 20417,Winter,,,
NEHC 20418,Spring,,,
NEHC 20501,Autumn,,,
NEHC 20502,Winter,,,
NEHC 20503,Spring,,,
NEHC 20504,Autumn,,,
NEHC 20550,Spring,,,
NEHC 20568,Winter,,,
NEHC 20583,Autumn,,,
NEHC 20585,Winter,,,
NEHC 20600,Winter,,,
NEHC 20601,Autumn,,,
NEHC 20602,Winter,,,
NEHC 20603,Spring,,,
NEHC 20605,Autumn,,,
NEHC 20634,Autumn,,,
NEHC 20659,Winter,,,
NEHC 20765,Spring,,,
NEHC 20827,Winter,,,
NEHC 20885,Autumn,,,
NEHC 21702,Spring,,,
NEHC 26016,Spring,,,
NEHC 29700,Autumn,Winter,Spring,
NEHC 29800,Autumn,,,
NEHC 29999,Winter,,,
NELG 10100,Autumn,,,
NELG 10200,Winter,,,
NELG 10300,Spring,,,
NELG 20100,Autumn,,,
NELG 20200,Winter,,,
NELG 20300,Spring,,,
PERS 10101,Autumn,,,
PERS 10102,Winter,,,
PERS 10103,Spring,,,
PERS 20101,Autumn,,,
PERS 20102,Winter,,,
PERS 20103,Spring,,,
SUMR 10101,Winter,,,
SUMR 10102,Spring,,,
SUMR 10103,Autumn,,,
SUMR 20310,Spring,,,
TURK 10101,Autumn,,,
TURK 10102,Winter,,,
TURK 10103,Spring,,,
TURK 10105,Autumn,,,
TURK 10106,Winter,,,
TURK 10107,Spring,,,
TURK 20101,Autumn,,,
TURK 20102,Winter,,,
TURK 20103,Spring,,,
UGAR 20101,Autumn,,,
UGAR 20102,Winter,,,
UGAR 20103,Spring,,,
LACS 16100,Autumn,,,
LACS 16200,Winter,,,
LACS 16300,Spring,,,
LACS 22501,Winter,,,
LACS 22502,Spring,,,
LACS 22503,Winter,,,
LACS 24705,Autumn,,,
LACS 25109,Spring,,,
LACS 25110,Autumn,,,
LACS 25111,Spring,,,
LACS 25112,Autumn,,,
LACS 26121,Spring,,,
LACS 26123,Autumn,,,
LACS 26219,Spring,,,
LACS 26412,Spring,,,
LACS 26413,Spring,,,
LACS 27901,Autumn,,,
LACS 27902,Winter,,,
LACS 27903,Spring,,,
LACS 29700,Summer,Autumn,Winter,Spring
LACS 29801,Autumn,,,
LACS 29900,Summer,Autumn,Winter,Spring
CHDV 14510,Autumn,,,
CHDV 20000,Autumn,,,
CHDV 20100,Winter,,,
CHDV 20101,Autumn,,,
CHDV 20140,Spring,,,
CHDV 20150,Autumn,,,
CHDV 20177,Spring,,,
CHDV 20209,Winter,,,
CHDV 20240,Spring,,,
CHDV 20300,Winter,,,
CHDV 20305,Winter,,,
CHDV 20400,Winter,,,
CHDV 20440,Spring,,,
CHDV 20505,Autumn,,,
CHDV 20636,Autumn,,,
CHDV 20773,Spring,,,
CHDV 20882,Spring,,,
CHDV 21000,Autumn,,,
CHDV 21400,Winter,,,
CHDV 21401,Spring,,,
CHDV 21920,Winter,,,
CHDV 23204,Winter,,,
CHDV 23249,Winter,,,
CHDV 23900,Winter,,,
CHDV 25100,Winter,,,
CHDV 25900,Spring,,,
CHDV 26000,Autumn,,,
CHDV 26901,Winter,,,
